id,productname,productprice,salespersonid,legalpersonid,developerid,testerid,hrid
3790,Pocket cameras,750,500,7,16,678,4
3791,ATM,670,50,90,18,678,6
3792,Sensors,340,30,120,20,789,8
3793,Smartphones,250,5,345,22,697,5
3794,Computer,450,50,456,24,457,3
3795,Laptop,760,70,678,26,567,5
3796,Wacom Tablet ,160,20,347,28,466,5
3797,Bluetooth Speakers,2000,30,70,30,55,7
3798,Television,450,23,72,32,367,3
3799,SmartWatches,125,700,48,34,45,4
3800,Tablet,500,50,32,36,36,7
3801,Video Players,300,50,20,38,457,5
3802,Calculators ,400,400,34,40,33,2
3803,Mobile Phones,500,7,45,42,4,6
3804,Telephone,600,3,10,44,5,4
3805,Landline Phone,700,5,11,46,6,3
3806,Radios,700,100,15,48,7,8
3807,Wakie-Talkies,600,500,19,50,67,3
3808,Routers,800,50,4,52,50,5
3809,Modems,600,30,9,54,67,6
3810,Gaming Coonsoles,300,5,6,56,46,7
3811,Music Players,500,50,38,58,235,4
3812,E-readers,500,70,33,60,670,8
3813,Kindle,700,20,55,62,457,3
3814,Projector,500,30,78,64,234,2
3815,Refrigerator,600,23,45,66,560,5
3816,WashingMachine,800,700,26,68,230,3
3817,Dryers,700,50,98,70,43,7
3818,Ovens,300,400,66,72,104,6
3819,Microwaves,400,7,77,74,923,4
3820,Air Conditioner,500,3,88,76,345,4
3821,Cameras,400,5,99,78,230,6
3822,Drone,200,100,333,80,456,8
3823,Virtual Reality Headsets,100,500,45,82,1,5
3824,Fitness Trackers,450,50,345,84,23,3
3825,Headphones ,670,30,12,86,234,5
3826,Earpods,890,5,55,88,45,5
3827,Blutooth Headphones,670,50,36,90,345,7
3828,Speakers,450,70,67,92,567,3
3829,Power Bank,340,20,23,94,409,4
3830,External Hard Dirves,750,30,700,96,679,7
3831,Printers,670,23,50,98,567,5
3832,Scanners,340,700,50,100,67,2
3833,Proector,250,50,400,102,34,6
3834,Electronic toothbrushes,450,50,7,104,54,4
3835,Pocket cameras,760,400,3,106,566,3
3836,ATM,160,7,5,108,66,8
3837,Sensors,2000,3,100,110,450,3
3838,Smartphones,450,5,500,112,345,5
3839,Computer,125,100,50,114,456,6
3840,Laptop,500,500,30,116,564,7
3841,Wacom Tablet ,300,50,5,118,456,4
3842,Bluetooth Speakers,400,30,50,120,563,8
3843,Television,500,5,70,122,6,3
3844,SmartWatches,600,50,20,124,12,2
3845,Tablet,700,70,30,126,67,5
3846,Video Players,700,20,23,128,34,3
3847,Calculators ,300,30,700,130,57,7
3848,Mobile Phones,500,23,50,132,34,6
3849,Telephone,500,700,400,134,120,4
3850,Landline Phone,700,50,7,136,330,4
3851,Radios,500,5,3,138,23,6
3852,Wakie-Talkies,600,100,5,140,34,8
3853,Routers,800,500,100,142,56,5
3854,Modems,700,50,500,144,78,3
3855,Gaming Coonsoles,300,30,50,146,98,5
3856,Music Players,400,5,30,148,90,5
3857,E-readers,500,50,5,150,10,7
3858,Kindle,400,70,50,152,34,3
3859,Projector,200,20,70,154,20,4
3860,Refrigerator,100,30,20,156,23,7
3861,WashingMachine,450,23,30,158,30,5
3862,Dryers,670,700,23,160,40,2
3863,Ovens,890,50,700,162,50,6
3864,Microwaves,670,23,50,164,55,4
3865,Air Conditioner,450,700,50,166,34,3
3866,Cameras,340,50,400,168,45,8
3867,Drone,750,50,7,170,35,3
3868,Virtual Reality Headsets,670,400,3,172,26,5
3869,Fitness Trackers,340,7,5,174,27,6
3870,Headphones ,250,3,100,176,28,7
3871,Earpods,450,5,500,178,49,4
3872,Blutooth Headphones,760,100,50,180,459,8
3873,Speakers,160,500,30,182,678,3
3874,Power Bank,2000,50,5,184,678,2
3875,External Hard Dirves,450,30,50,186,789,5
3876,Printers,125,5,70,188,697,3
3877,Scanners,500,50,20,190,457,7
3878,Proector,300,70,30,192,567,6
3879,Electronic toothbrushes,400,20,23,194,466,4
3880,Pocket cameras,500,30,700,196,55,4
3881,ATM,600,23,50,198,367,6
3882,Sensors,700,700,400,200,45,8
3883,Smartphones,700,50,7,202,36,5
3884,Computer,300,400,3,204,457,3
3885,Laptop,500,7,5,206,33,5
3886,Wacom Tablet ,500,3,100,208,4,5
3887,Bluetooth Speakers,700,5,500,210,5,7
3888,Television,500,100,50,212,6,3
3889,SmartWatches,600,500,30,214,7,4
3890,Tablet,800,50,5,216,67,7
3891,Video Players,700,30,50,218,50,5
3892,Calculators ,300,5,70,220,67,2
3893,Mobile Phones,400,50,20,222,46,6
3894,Telephone,500,70,30,224,235,4
3895,Landline Phone,400,20,23,226,670,3
3896,Radios,200,30,700,228,457,8
3897,Wakie-Talkies,100,23,50,230,234,3
3898,Routers,450,700,50,232,560,5
3899,Modems,670,50,400,234,230,6
3900,Gaming Coonsoles,890,50,7,236,43,7
3901,Music Players,670,400,3,238,104,4
3902,E-readers,450,7,5,240,923,8
3903,Kindle,340,3,100,242,345,3
3904,Projector,750,5,500,244,230,2
3905,Refrigerator,670,100,50,246,456,5
3906,WashingMachine,340,500,30,248,1,3
3907,Dryers,250,50,5,250,23,7
3908,Ovens,450,30,50,252,234,6
3909,Microwaves,760,5,70,254,45,4
3910,Air Conditioner,160,50,20,256,345,4
3911,Cameras,2000,70,30,258,567,6
3912,Drone,450,20,23,260,409,8
3913,Virtual Reality Headsets,125,30,700,262,679,5
3914,Fitness Trackers,500,23,50,264,567,3
3915,Headphones ,300,700,400,266,67,5
3916,Earpods,400,50,7,268,34,5
3917,Blutooth Headphones,500,5,3,270,54,7
3918,Speakers,600,100,5,272,566,3
3919,Power Bank,700,500,100,274,66,4
3920,External Hard Dirves,700,50,500,276,450,7
3921,Printers,300,30,50,278,345,5
3922,Scanners,500,5,30,280,456,2
3923,Proector,500,50,5,282,564,6
3924,Electronic toothbrushes,700,70,50,284,456,4
3925,Pocket cameras,500,20,70,286,563,3
3926,ATM,600,30,20,288,30,8
3927,Sensors,800,23,30,290,40,3
3928,Smartphones,700,700,23,292,50,5
3929,Computer,300,50,700,294,55,6
3930,Laptop,400,23,50,296,34,7
3931,Wacom Tablet ,500,700,50,298,45,4
3932,Bluetooth Speakers,400,50,400,300,35,8
3933,Television,200,50,7,302,26,3
3934,SmartWatches,100,400,3,304,27,2
3935,Tablet,450,7,5,306,28,5
3936,Video Players,670,3,100,308,49,3
3937,Calculators ,890,5,500,310,459,7
3938,Mobile Phones,670,100,50,312,678,6
3939,Telephone,450,500,30,314,678,4
3940,Landline Phone,340,50,5,316,789,4
3941,Radios,750,30,50,318,697,6
3942,Wakie-Talkies,670,5,70,320,457,8
3943,Routers,340,50,20,322,567,5
3944,Modems,250,70,30,324,466,3
3945,Gaming Coonsoles,450,20,23,326,55,5
3946,Music Players,760,30,700,328,367,5
3947,E-readers,160,23,50,330,45,7
3948,Kindle,2000,700,400,332,36,3
3949,Projector,450,50,7,334,457,5
3950,Refrigerator,125,400,3,336,33,7
3951,WashingMachine,500,7,5,338,4,3
3952,Dryers,300,3,100,340,5,4
3953,Ovens,400,5,500,342,6,7
3954,Microwaves,500,100,50,344,7,5
3955,Air Conditioner,600,500,30,346,67,2
3956,Cameras,700,50,5,348,50,6
3957,Drone,700,30,50,350,67,4
3958,Virtual Reality Headsets,300,5,70,352,46,3
3959,Fitness Trackers,500,50,20,354,235,8
3960,Headphones ,500,400,30,356,670,3
3961,Earpods,700,7,23,358,457,5
3962,Blutooth Headphones,500,3,700,360,234,6
3963,Speakers,600,5,50,362,560,7
3964,Power Bank,800,100,50,364,230,4
3965,External Hard Dirves,700,500,400,366,43,8
3966,Printers,300,50,7,368,104,3
3967,Scanners,400,30,3,370,923,2
3968,Proector,500,5,5,372,345,5
3969,Electronic toothbrushes,400,50,100,374,230,3
3970,Pocket cameras,200,70,500,376,456,7
3971,ATM,100,20,50,378,1,6
3972,Sensors,450,30,30,380,23,4
3973,Smartphones,670,23,5,382,234,4
3974,Computer,890,700,50,384,45,6
3975,Laptop,670,50,70,386,345,8
3976,Wacom Tablet ,450,400,20,388,567,5
3977,Bluetooth Speakers,340,7,30,390,409,3
3978,Television,750,3,23,392,679,5
3979,SmartWatches,670,5,700,394,567,5
3980,Tablet,340,100,50,396,67,7
3981,Video Players,250,500,400,398,34,3
3982,Calculators ,450,50,7,400,54,4
3983,Mobile Phones,760,30,3,402,566,7
3984,Telephone,160,5,5,404,66,5
3985,Landline Phone,2000,50,100,406,450,2
3986,Radios,450,70,500,408,345,6
3987,Wakie-Talkies,125,20,50,410,456,4
3988,Routers,500,30,30,412,564,3
3989,Modems,300,23,5,414,456,8
3990,Gaming Coonsoles,400,700,50,416,563,3
3991,Music Players,500,50,70,418,6,5
3992,E-readers,600,50,20,420,12,6
3993,Kindle,700,400,30,422,67,7
3994,Projector,700,7,23,424,34,4
3995,Refrigerator,800,3,700,426,57,8
3996,WashingMachine,300,5,50,428,34,3
3997,Dryers,500,100,50,430,120,2
3998,Ovens,500,500,400,432,330,5
3999,Microwaves,700,50,7,434,23,3
4000,Air Conditioner,500,30,3,436,34,7
4001,Cameras,600,5,5,438,56,6
4002,Drone,800,50,100,440,78,4
4003,Virtual Reality Headsets,700,70,500,442,98,4
4004,Fitness Trackers,300,20,50,444,90,6
4005,Headphones ,400,30,30,446,10,8
4006,Earpods,500,23,5,448,34,5
4007,Blutooth Headphones,400,700,50,450,20,3
4008,Speakers,200,50,70,452,23,5
4009,Power Bank,100,400,20,454,30,5
4010,External Hard Dirves,450,7,30,456,40,7
4011,Printers,670,3,23,458,50,3
4012,Scanners,890,5,23,460,55,4
4013,Proector,670,100,700,462,34,7
4014,Electronic toothbrushes,450,500,50,464,45,5
4015,Pocket cameras,340,50,50,466,35,2
4016,ATM,750,30,400,468,26,6
4017,Sensors,670,5,7,470,27,4
4018,Smartphones,340,50,3,472,28,3
4019,Computer,250,70,5,474,49,8
4020,Laptop,450,20,100,476,459,3
4021,Wacom Tablet ,760,30,500,478,678,5
4022,Bluetooth Speakers,160,23,50,480,678,6
4023,Television,2000,700,30,482,789,7
4024,SmartWatches,450,50,5,484,697,4
4025,Tablet,125,50,50,486,457,8
4026,Video Players,500,400,70,488,567,3
4027,Calculators ,300,7,20,490,466,2
4028,Mobile Phones,400,3,30,492,55,5
4029,Telephone,500,5,23,494,367,3
4030,Landline Phone,600,100,700,496,45,7
4031,Radios,700,500,50,498,36,6
4032,Wakie-Talkies,700,50,400,500,457,4
4033,Routers,300,30,7,502,33,4
4034,Modems,500,5,3,504,4,6
4035,Gaming Coonsoles,500,50,5,506,5,8
4036,Music Players,700,70,100,508,6,5
4037,E-readers,500,20,500,510,7,3
4038,Kindle,600,30,50,512,67,5
4039,Projector,800,23,30,514,50,5
4040,Refrigerator,700,700,5,516,67,7
4041,WashingMachine,300,50,50,518,46,3
4042,Dryers,400,400,70,520,235,4
4043,Ovens,500,7,20,522,670,7
4044,Microwaves,400,3,30,524,457,5
4045,Air Conditioner,200,5,23,526,234,2
4046,Cameras,100,100,700,528,560,6
4047,Drone,450,500,50,530,230,4
4048,Virtual Reality Headsets,670,50,50,532,43,3
4049,Fitness Trackers,890,30,400,534,104,8
4050,Headphones ,670,5,7,536,923,3
4051,Earpods,450,50,3,538,345,5
4052,Blutooth Headphones,340,70,5,540,230,6
4053,Speakers,750,20,100,542,456,7
4054,Power Bank,670,30,500,544,1,4
4055,External Hard Dirves,340,23,50,546,23,8
4056,Printers,250,700,30,548,234,3
4057,Scanners,450,50,5,550,45,2
4058,Proector,760,50,50,552,345,5
4059,Electronic toothbrushes,160,400,70,554,567,3
4060,Pocket cameras,2000,7,20,556,409,7
4061,ATM,450,3,30,558,679,6
4062,Sensors,125,5,23,560,567,4
4063,Smartphones,500,100,700,562,67,4
4064,Computer,300,500,50,564,34,6
4065,Laptop,400,50,400,566,54,8
4066,Wacom Tablet ,500,30,7,568,566,5
4067,Bluetooth Speakers,600,5,3,570,66,3
4068,Television,700,50,5,572,450,5
4069,SmartWatches,700,70,100,574,345,5
4070,Tablet,300,20,500,576,456,7
4071,Video Players,500,30,50,578,564,3
4072,Calculators ,500,23,30,580,456,4
4073,Mobile Phones,700,700,5,582,563,7
4074,Telephone,500,50,50,584,6,5
4075,Landline Phone,600,400,70,586,12,2
4076,Radios,800,7,20,588,67,6
4077,Wakie-Talkies,700,3,30,590,34,4
4078,Routers,300,5,23,592,57,3
4079,Modems,400,100,700,594,34,8
4080,Gaming Coonsoles,500,500,50,596,120,3
4081,Music Players,400,50,50,598,330,5
4082,E-readers,200,30,400,600,23,6
4083,Kindle,100,5,7,602,34,7
4084,Projector,450,50,3,604,56,4
4085,Refrigerator,670,400,5,606,78,8
4086,WashingMachine,890,7,100,608,98,3
4087,Dryers,670,3,500,610,90,2
4088,Ovens,450,5,50,612,10,5
4089,Microwaves,340,100,30,614,34,3
4090,Air Conditioner,750,500,5,616,20,7
4091,Cameras,670,50,50,618,23,6
4092,Drone,340,30,70,620,30,4
4093,Virtual Reality Headsets,250,5,20,622,40,4
4094,Fitness Trackers,450,50,30,624,50,6
4095,Headphones ,760,70,23,626,55,8
4096,Earpods,160,20,700,628,34,5
4097,Blutooth Headphones,2000,30,50,630,45,3
4098,Speakers,450,23,400,632,35,5
4099,Power Bank,125,700,7,634,26,5
4100,External Hard Dirves,500,50,3,636,27,7
4101,Printers,300,400,5,638,28,3
4102,Scanners,400,7,100,640,49,4
4103,Proector,500,3,500,642,459,7
4104,Electronic toothbrushes,600,5,50,644,678,5
4105,Pocket cameras,700,100,30,646,678,2
4106,ATM,700,500,5,648,789,6
4107,Sensors,300,50,50,650,697,4
4108,Smartphones,500,30,70,652,457,3
4109,Computer,500,5,20,654,567,8
4110,Laptop,700,50,30,656,466,3
4111,Wacom Tablet ,500,70,23,658,55,5
4112,Bluetooth Speakers,600,20,700,660,367,6
4113,Television,800,30,50,662,45,7
4114,SmartWatches,700,23,50,664,36,4
4115,Tablet,300,700,400,666,457,8
4116,Video Players,400,50,7,668,33,3
4117,Calculators ,500,50,3,670,4,2
4118,Mobile Phones,400,400,5,672,5,5
4119,Telephone,200,7,100,674,6,3
4120,Landline Phone,100,3,500,676,7,7
4121,Radios,450,5,50,678,67,6
4122,Wakie-Talkies,670,100,30,680,50,4
4123,Routers,890,500,5,682,67,4
4124,Modems,670,50,50,684,46,6
4125,Gaming Coonsoles,450,30,70,686,235,8
4126,Music Players,340,5,20,688,670,5
4127,E-readers,750,50,30,690,457,3
4128,Kindle,670,70,23,692,234,5
4129,Projector,340,20,700,694,560,5
4130,Refrigerator,250,30,50,696,230,7
4131,WashingMachine,450,23,400,698,43,3
4132,Dryers,760,700,7,700,104,4
4133,Ovens,160,50,3,702,923,7
4134,Microwaves,2000,400,5,704,345,5
4135,Air Conditioner,450,7,100,706,230,2
4136,Cameras,125,3,500,708,456,6
4137,Drone,500,5,50,710,1,4
4138,Virtual Reality Headsets,300,100,30,712,23,3
4139,Fitness Trackers,400,500,5,714,234,8
4140,Headphones ,500,50,50,716,45,3
4141,Earpods,600,30,70,718,345,5
4142,Blutooth Headphones,700,5,20,720,567,6
4143,Speakers,700,50,30,722,409,7
4144,Power Bank,300,70,23,724,679,4
4145,External Hard Dirves,500,20,700,726,567,8
4146,Printers,500,30,50,728,67,3
4147,Scanners,700,23,50,730,34,2
4148,Proector,500,700,400,732,54,5
4149,Electronic toothbrushes,600,50,7,734,566,3
4150,Pocket cameras,800,50,3,736,66,7
4151,ATM,700,400,5,738,450,6
4152,Sensors,300,7,100,740,345,4
4153,Smartphones,400,3,500,742,456,4
4154,Computer,500,5,50,744,564,6
4155,Laptop,400,100,30,746,456,8
4156,Wacom Tablet ,200,500,5,748,563,5
4157,Bluetooth Speakers,100,50,50,750,560,3
4158,Television,450,30,70,752,230,5
4159,SmartWatches,670,5,20,754,43,5
4160,Tablet,890,50,30,756,104,7
4161,Video Players,670,70,23,758,923,3
4162,Calculators ,450,20,700,760,345,4
4163,Mobile Phones,340,30,50,762,230,7
4164,Telephone,750,23,400,764,456,5
4165,Landline Phone,670,700,7,766,1,2
4166,Radios,340,50,3,768,23,6
4167,Wakie-Talkies,250,400,5,770,234,4
4168,Routers,450,7,100,772,45,3
4169,Modems,760,3,500,774,345,8
4170,Gaming Coonsoles,160,5,50,776,567,3
4171,Music Players,2000,100,30,778,409,5
4172,E-readers,450,500,5,780,679,6
4173,Kindle,125,50,50,782,567,7
4174,Projector,500,30,70,784,67,4
4175,Refrigerator,300,5,20,786,34,8
4176,WashingMachine,400,50,30,788,54,3
4177,Dryers,500,70,23,790,566,2
4178,Ovens,600,20,700,792,66,5
4179,Microwaves,700,30,50,794,450,3
4180,Air Conditioner,700,23,50,796,345,7
4181,Cameras,300,700,400,798,456,6
4182,Drone,500,50,7,800,564,4
4183,Virtual Reality Headsets,500,50,3,802,456,4
4184,Fitness Trackers,700,400,5,804,563,6
4185,Headphones ,500,7,100,806,6,8
4186,Earpods,600,3,500,808,12,5
4187,Blutooth Headphones,800,5,50,810,67,3
4188,Speakers,700,100,30,812,34,5
4189,Power Bank,300,500,5,814,57,5
4190,External Hard Dirves,400,50,50,816,34,7
4191,Printers,500,30,70,818,120,3
4192,Scanners,400,5,20,820,330,4
4193,Proector,200,50,30,822,23,7
4194,Electronic toothbrushes,100,70,23,824,34,5
4195,Pocket cameras,450,20,89,826,56,2
4196,ATM,670,30,45,828,78,6
4197,Sensors,890,23,35,830,98,4
4198,Smartphones,670,700,46,832,90,3
4199,Computer,450,50,78,834,10,8
4200,Laptop,340,5,56,836,34,3
4201,Wacom Tablet ,750,100,345,838,20,5
4202,Bluetooth Speakers,670,500,465,840,23,6
4203,Television,340,50,567,842,30,7
4204,SmartWatches,250,30,765,844,40,4
4205,Tablet,450,5,879,846,50,8
4206,Video Players,760,50,555,848,55,3
4207,Calculators ,160,70,234,850,34,2
4208,Mobile Phones,2000,20,345,852,45,5
4209,Telephone,450,30,333,854,35,3
4210,Landline Phone,125,23,234,856,26,7
4211,Radios,500,700,254,858,27,6
4212,Wakie-Talkies,300,50,213,860,28,4
4213,Routers,400,23,346,862,49,4
4214,Modems,500,700,764,864,459,6
4215,Gaming Coonsoles,600,50,768,866,678,8
4216,Music Players,700,50,423,868,678,5
4217,E-readers,700,400,986,870,789,3
4218,Kindle,800,7,999,872,697,5
4219,Projector,300,3,123,874,457,5
4220,Refrigerator,500,5,45,876,567,7
4221,WashingMachine,500,100,32,878,466,3
4222,Dryers,700,500,78,880,55,4
4223,Ovens,500,50,45,882,367,7
4224,Microwaves,600,30,12,884,45,5
4225,Air Conditioner,800,5,345,886,36,2
4226,Cameras,700,50,123,888,457,6
4227,Drone,300,70,100,890,33,4
4228,Virtual Reality Headsets,400,20,125,892,4,3
4229,Fitness Trackers,500,30,135,894,5,8
4230,Headphones ,400,23,167,896,6,3
4231,Earpods,200,700,175,898,7,5
4232,Blutooth Headphones,100,50,197,900,67,6
4233,Speakers,450,400,789,902,50,7
4234,Power Bank,670,7,987,904,67,4
4235,External Hard Dirves,890,3,678,906,46,8
4236,Printers,670,5,567,908,235,3
4237,Scanners,450,100,453,910,670,2
4238,Proector,340,500,34,912,457,5
4239,Electronic toothbrushes,750,50,56,914,234,3
4240,Pocket cameras,670,30,76,916,560,7
4241,ATM,340,5,35,918,230,6
4242,Sensors,250,50,78,920,43,4
4243,Smartphones,450,70,570,922,104,4
4244,Computer,760,20,98,924,923,6
4245,Laptop,160,30,90,926,345,8
4246,Wacom Tablet ,2000,23,70,928,230,5
4247,Bluetooth Speakers,450,700,679,930,456,3
4248,Television,125,50,3,932,1,5
4249,SmartWatches,500,50,6,934,23,5
4250,Tablet,300,400,8,936,234,7
4251,Video Players,400,7,5,938,45,3
4252,Calculators ,500,3,9,940,345,4
4253,Mobile Phones,600,5,3,942,567,7
4254,Telephone,700,100,5,944,409,5
4255,Landline Phone,700,500,2,946,679,2
4256,Radios,300,50,7,948,567,6
4257,Wakie-Talkies,500,30,90,950,67,4
4258,Routers,500,5,120,952,34,3
4259,Modems,700,50,345,954,54,8
4260,Gaming Coonsoles,500,70,456,956,566,3
4261,Music Players,600,20,678,958,66,5
4262,E-readers,800,30,347,960,450,6
4263,Kindle,700,23,70,962,345,7
4264,Projector,300,700,72,964,456,4
4265,Refrigerator,400,50,48,966,564,8
4266,WashingMachine,500,5,32,968,456,3
4267,Dryers,400,100,20,970,563,2
4268,Ovens,200,500,34,972,6,5
4269,Microwaves,100,50,45,974,12,3
4270,Air Conditioner,450,30,10,976,67,7
4271,Cameras,670,5,11,978,34,6
4272,Drone,890,50,15,980,57,4
4273,Virtual Reality Headsets,670,70,19,982,34,4
4274,Fitness Trackers,450,20,4,984,120,6
4275,Headphones ,340,30,9,986,330,8
4276,Earpods,750,23,6,988,23,5
4277,Blutooth Headphones,670,700,38,990,34,3
4278,Speakers,340,50,33,992,56,5
4279,Power Bank,250,30,55,994,78,5
4280,External Hard Dirves,450,23,78,996,98,7
4281,Printers,760,700,45,998,90,3
4282,Scanners,160,50,26,1000,10,4
4283,Proector,2000,50,98,2,34,7
4284,Electronic toothbrushes,450,400,66,4,20,5
4285,Pocket cameras,125,7,77,6,23,2
4286,ATM,500,3,88,8,30,6
4287,Sensors,300,5,99,10,40,4
4288,Smartphones,400,100,333,12,50,3
4289,Computer,500,500,45,14,55,8
4290,Laptop,600,50,345,16,34,3
4291,Wacom Tablet ,700,30,12,18,45,5
4292,Bluetooth Speakers,700,5,55,20,35,6
4293,Television,300,50,36,22,26,7
4294,SmartWatches,500,70,67,24,27,4
4295,Tablet,500,20,23,26,28,8
4296,Video Players,700,30,700,28,49,3
4297,Calculators ,500,23,50,30,459,2
4298,Mobile Phones,600,700,50,32,678,5
4299,Telephone,800,50,400,34,678,3
4300,Landline Phone,700,400,7,36,789,7
4301,Radios,300,7,3,38,697,6
4302,Wakie-Talkies,400,3,5,40,457,4
4303,Routers,500,5,100,42,567,4
4304,Modems,400,100,500,44,466,6
4305,Gaming Coonsoles,200,500,50,46,55,8
4306,Music Players,100,50,30,48,367,5
4307,E-readers,450,30,5,50,45,3
4308,Kindle,670,5,50,52,36,5
4309,Projector,890,50,70,54,457,5
4310,Refrigerator,670,70,20,56,33,7
4311,WashingMachine,450,20,30,58,4,3
4312,Dryers,340,30,23,60,5,4
4313,Ovens,750,23,700,62,6,7
4314,Microwaves,670,700,50,64,7,5
4315,Air Conditioner,340,50,400,66,67,2
4316,Cameras,250,50,7,68,50,6
4317,Drone,450,400,3,70,67,4
4318,Virtual Reality Headsets,760,7,5,72,46,3
4319,Fitness Trackers,160,3,100,74,235,8
4320,Headphones ,2000,5,500,76,670,3
4321,Earpods,450,100,50,78,457,5
4322,Blutooth Headphones,125,500,30,80,234,6
4323,Speakers,500,50,5,82,560,7
4324,Power Bank,300,30,50,84,230,4
4325,External Hard Dirves,400,5,70,86,43,8
4326,Printers,500,50,20,88,104,3
4327,Scanners,600,70,30,90,923,2
4328,Proector,700,20,23,92,345,5
4329,Electronic toothbrushes,700,30,700,94,230,3
4330,Pocket cameras,300,23,50,96,456,7
4331,ATM,500,700,50,98,1,6
4332,Sensors,500,50,400,100,23,4
4333,Smartphones,700,400,7,102,234,4
4334,Computer,500,7,3,104,45,6
4335,Laptop,600,3,5,106,345,8
4336,Wacom Tablet ,800,5,100,108,567,5
4337,Bluetooth Speakers,700,100,500,110,409,3
4338,Television,300,500,50,112,679,5
4339,SmartWatches,400,50,30,114,567,5
4340,Tablet,500,30,5,116,67,7
4341,Video Players,400,5,50,118,34,3
4342,Calculators ,200,50,70,120,54,4
4343,Mobile Phones,100,400,20,122,566,7
4344,Telephone,450,7,30,124,66,5
4345,Landline Phone,670,3,23,126,450,2
4346,Radios,890,5,700,128,345,6
4347,Wakie-Talkies,670,100,50,130,456,4
4348,Routers,450,500,400,132,564,3
4349,Modems,340,50,7,134,456,8
4350,Gaming Coonsoles,750,30,3,136,563,3
4351,Music Players,670,5,5,138,6,5
4352,E-readers,340,50,100,140,12,6
4353,Kindle,250,70,500,142,67,7
4354,Projector,450,20,50,144,34,4
4355,Refrigerator,760,30,30,146,57,8
4356,WashingMachine,160,23,5,148,34,3
4357,Dryers,2000,700,50,150,120,2
4358,Ovens,450,50,70,152,330,5
4359,Microwaves,125,400,20,154,23,3
4360,Air Conditioner,500,7,30,156,34,7
4361,Cameras,300,3,23,158,56,6
4362,Drone,400,5,700,160,78,4
4363,Virtual Reality Headsets,500,100,50,162,98,4
4364,Fitness Trackers,600,500,50,164,90,6
4365,Headphones ,700,50,400,166,10,8
4366,Earpods,700,30,7,168,34,5
4367,Blutooth Headphones,300,5,3,170,20,3
4368,Speakers,500,50,5,172,23,5
4369,Power Bank,500,70,100,174,30,5
4370,External Hard Dirves,700,20,500,176,40,7
4371,Printers,500,30,50,178,50,3
4372,Scanners,600,23,30,180,55,4
4373,Proector,800,700,5,182,34,7
4374,Electronic toothbrushes,700,50,50,184,45,5
4375,Pocket cameras,300,50,70,186,35,2
4376,ATM,400,400,20,188,26,6
4377,Sensors,500,7,30,190,27,4
4378,Smartphones,400,3,23,192,28,3
4379,Computer,200,5,700,194,49,8
4380,Laptop,100,100,50,196,459,3
4381,Wacom Tablet ,450,500,400,198,678,5
4382,Bluetooth Speakers,670,50,7,200,678,6
4383,Television,890,30,3,202,789,7
4384,SmartWatches,670,5,5,204,697,4
4385,Tablet,450,50,100,206,457,8
4386,Video Players,340,70,500,208,567,3
4387,Calculators ,750,20,50,210,466,2
4388,Mobile Phones,670,30,30,212,55,5
4389,Telephone,340,23,5,214,367,3
4390,Landline Phone,250,700,50,216,45,7
4391,Radios,450,50,70,218,36,6
4392,Wakie-Talkies,760,400,20,220,457,4
4393,Routers,160,7,30,222,33,4
4394,Modems,2000,3,23,224,4,6
4395,Gaming Coonsoles,450,5,700,226,5,8
4396,Music Players,125,100,50,228,6,5
4397,E-readers,500,500,50,230,7,3
4398,Kindle,300,50,400,232,67,5
4399,Projector,400,30,7,234,50,5
4400,Refrigerator,500,5,3,236,67,7
4401,WashingMachine,600,50,5,238,46,3
4402,Dryers,700,70,100,240,235,4
4403,Ovens,700,20,500,242,670,7
4404,Microwaves,300,30,50,244,457,5
4405,Air Conditioner,500,23,30,246,234,2
4406,Cameras,500,700,5,248,560,6
4407,Drone,700,50,50,250,230,4
4408,Virtual Reality Headsets,500,50,70,252,43,3
4409,Fitness Trackers,600,400,20,254,104,8
4410,Headphones ,800,7,30,256,923,3
4411,Earpods,700,3,23,258,345,5
4412,Blutooth Headphones,300,5,700,260,230,6
4413,Speakers,400,100,50,262,456,7
4414,Power Bank,500,500,400,264,1,4
4415,External Hard Dirves,400,50,7,266,23,8
4416,Printers,200,30,3,268,234,3
4417,Scanners,100,5,5,270,45,2
4418,Proector,450,50,100,272,345,5
4419,Electronic toothbrushes,670,70,500,274,567,3
4420,Pocket cameras,890,20,50,276,409,7
4421,ATM,670,30,30,278,679,6
4422,Sensors,450,23,5,280,567,4
4423,Smartphones,340,700,50,282,67,4
4424,Computer,750,50,70,284,34,6
4425,Laptop,670,400,20,286,54,8
4426,Wacom Tablet ,340,7,30,288,566,5
4427,Bluetooth Speakers,250,3,23,290,66,3
4428,Television,450,5,700,292,450,5
4429,SmartWatches,760,100,50,294,345,5
4430,Tablet,160,500,50,296,456,7
4431,Video Players,2000,50,400,298,564,3
4432,Calculators ,450,30,7,300,456,4
4433,Mobile Phones,125,5,3,302,563,7
4434,Telephone,500,50,5,304,30,5
4435,Landline Phone,300,70,100,306,40,2
4436,Radios,400,20,500,308,50,6
4437,Wakie-Talkies,500,30,50,310,55,4
4438,Routers,600,23,30,312,34,3
4439,Modems,700,700,5,314,45,8
4440,Gaming Coonsoles,700,50,50,316,35,3
4441,Music Players,800,50,70,318,26,5
4442,E-readers,300,400,20,320,27,6
4443,Kindle,500,7,30,322,28,7
